,date,key,value,updated_on,source_url,filename,country
1,2020-03-16,tested,2200.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
4,2020-03-17,tested,2650.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
6,2020-03-19,tested,3888.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
7,2020-03-20,tested,4840.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
215,2020-03-23,tested,8060.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
289,2020-03-24,tested,8060.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
291,2020-03-25,tested,,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
292,2020-03-26,tested,,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
293,2020-03-27,tested,,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
295,2020-03-29,tested,,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
297,2020-03-30,tested,,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
298,2020-03-31,tested,,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
299,2020-04-01,tested,,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
300,2020-04-02,tested,,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
301,2020-04-03,tested,,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
302,2020-04-04,tested,,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
303,2020-04-05,tested,,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
304,2020-04-06,tested,,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
305,2020-04-07,tested,,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
306,2020-04-08,tested,,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
307,2020-04-09,tested,,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
308,2020-04-10,tested,,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
309,2020-04-11,tested,,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
311,2020-04-15,tested,,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
313,2020-04-17,tested,,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
314,2020-04-18,tested,,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
315,2020-04-19,tested,,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
316,2020-04-20,tested,,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
317,2020-04-21,tested,,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
318,2020-04-22,tested,,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
319,2020-04-23,tested,,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
320,2020-04-24,tested,,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
321,2020-04-25,tested,,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
323,2020-03-16,tested_positive,1563.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
326,2020-03-17,tested_positive,2269.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
328,2020-03-19,tested_positive,3438.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
329,2020-03-20,tested_positive,4176.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
537,2020-03-23,tested_positive,,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
611,2020-03-24,tested_positive,,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
613,2020-03-25,tested_positive,9765.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
614,2020-03-26,tested_positive,10.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
615,2020-03-27,tested_positive,12.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
617,2020-03-29,tested_positive,14.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
619,2020-03-30,tested_positive,15475.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
620,2020-03-31,tested_positive,16176.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
621,2020-04-01,tested_positive,17139.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
622,2020-04-02,tested_positive,18267.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
623,2020-04-03,tested_positive,19303.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
624,2020-04-04,tested_positive,20.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
625,2020-04-05,tested_positive,21.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
626,2020-04-06,tested_positive,21.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
627,2020-04-07,tested_positive,22242.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
628,2020-04-08,tested_positive,22789.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
629,2020-04-09,tested_positive,23574.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
630,2020-04-10,tested_positive,24308.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
631,2020-04-11,tested_positive,24900.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
633,2020-04-15,tested_positive,26336.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
635,2020-04-17,tested_positive,27078.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
636,2020-04-18,tested_positive,2744.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
637,2020-04-19,tested_positive,27740.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
638,2020-04-20,tested_positive,27944.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
639,2020-04-21,tested_positive,28063.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
640,2020-04-22,tested_positive,28268.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
641,2020-04-23,tested_positive,28496.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
642,2020-04-24,tested_positive,28677.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
643,2020-04-25,tested_positive,28894.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
645,2020-03-16,dead,13.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
648,2020-03-17,dead,19.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
650,2020-03-19,dead,33.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
651,2020-03-20,dead,43.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
859,2020-03-23,dead,66.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
933,2020-03-24,dead,66.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
935,2020-03-25,dead,103.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
936,2020-03-26,dead,714.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
937,2020-03-27,dead,161.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
939,2020-03-29,dead,336.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
941,2020-03-30,dead,295.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
942,2020-03-31,dead,373.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
943,2020-04-01,dead,378.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
944,2020-04-02,dead,432.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
945,2020-04-03,dead,484.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
946,2020-04-04,dead,278.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
947,2020-04-05,dead,100.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
948,2020-04-06,dead,652.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
949,2020-04-07,dead,641.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
950,2020-04-08,dead,705.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
951,2020-04-09,dead,756.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
952,2020-04-10,dead,805.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
953,2020-04-11,dead,831.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
955,2020-04-15,dead,973.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
957,2020-04-17,dead,1059.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
958,2020-04-18,dead,1111.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
959,2020-04-19,dead,1135.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
960,2020-04-20,dead,1142.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
961,2020-04-21,dead,1187.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
962,2020-04-22,dead,1217.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
963,2020-04-23,dead,1268.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
964,2020-04-24,dead,1309.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
965,2020-04-25,dead,1329.0,2020-04-26,https://api.apify.com/v2/datasets/73pVXuygDYAtIMOhI/items?format=json&clean=1,total.csv,switzerland
1,2020-03-15,cases,992,2020-04-26,https://api.apify.com/v2/datasets/Nq3XwHX262iDwsFJS/items?format=json&clean=1,total.csv,sweden
2,2020-03-16,cases,1 059,2020-04-26,https://api.apify.com/v2/datasets/Nq3XwHX262iDwsFJS/items?format=json&clean=1,total.csv,sweden
3,2020-03-17,cases,1 167,2020-04-26,https://api.apify.com/v2/datasets/Nq3XwHX262iDwsFJS/items?format=json&clean=1,total.csv,sweden
4,2020-03-18,cases,1 279,2020-04-26,https://api.apify.com/v2/datasets/Nq3XwHX262iDwsFJS/items?format=json&clean=1,total.csv,sweden
7,2020-03-19,cases,1 423,2020-04-26,https://api.apify.com/v2/datasets/Nq3XwHX262iDwsFJS/items?format=json&clean=1,total.csv,sweden
8,2020-03-20,cases,1 623,2020-04-26,https://api.apify.com/v2/datasets/Nq3XwHX262iDwsFJS/items?format=json&clean=1,total.csv,sweden
